model_or_baseline,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
qwen3vl8b,scene3,800,800,0,1.0,0.47425897035881437,0.4887459807073955,0.48139350752177357,0.0275,0.8875,0.08341277407054337,0.1226034308779011,0.32896064581231077,0.5454086781029263,2.0102100451401252,1.3147598365186959,8.458041642788364,3.745654776471277,0.12048271882311143,0.05940567498757898,0
qwen3vl8b,scene4_room1,200,200,0,1.0,0.5356125356125356,0.46534653465346537,0.4980132450331126,0.045,0.825,0.22172949002217296,0.17543859649122806,0.34385964912280703,0.512280701754386,2.2940852783154817,1.412039780913235,1.2360782701573536,0.5970762390117585,0.17019095234336581,0.08671453897207537,0
qwen3vl8b,scene4_room2,200,200,0,1.0,0.3293768545994065,0.2928759894459103,0.31005586592178774,0.005,0.975,0.20518867924528303,0.020860495436766623,0.09647979139504564,0.25032594524119944,3.8500412310037393,2.4429190675045063,3.082111599826862,0.8105015218694749,0.3128261811267885,0.1065889046044936,36
qwen3vl8b,scene4_room3,200,200,0,1.0,0.6261904761904762,0.6902887139107612,0.6566791510611735,0.06,0.93,0.25133689839572193,0.1656050955414013,0.3694267515923568,0.5456475583864119,2.285222686730785,1.0907452449482058,0.8550099627529743,0.42346901238466433,0.1363769205343955,0.06641943561340463,0
qwen3vl8b,scene4_room4,200,200,0,1.0,0.3961038961038961,0.3065326633165829,0.3456090651558073,0.035,0.905,0.16076294277929154,0.060446780551905395,0.2155059132720105,0.3469119579500657,3.9912881593804865,2.3361887340304324,1.5424154261577396,0.6862213444363653,0.18196008887011736,0.08868610047801137,4
qwen3vl8b,scene5,800,800,0,1.0,0.4704225352112676,0.49088771310993534,0.48043728423475257,0.025,0.85125,0.2262423714036617,0.22327909887359199,0.3494367959949937,0.4891113892365457,2.2880468713143776,1.5721939589038834,6.0516768040083075,3.190115944807269,0.10519413895851738,0.055185985443521844,0
internvl3_38b,scene1,800,800,0,1.0,0.43004824259131635,0.3759036144578313,0.40115718418514945,0.01875,0.82,0.093125,0.08895705521472394,0.22515337423312884,0.38098159509202456,3.481981074513703,2.1268026585803437,20.20803159646822,10.111612702170195,0.15914614880737404,0.08724350372232503,0
internvl3_38b,scene2,800,800,0,1.0,0.31245836109260494,0.22537241710716002,0.2618648799553322,0.0175,0.965,0.03966730646193218,0.01097694840834248,0.04665203073545555,0.1684961580680571,7.032971643304876,3.8941724018038277,2.681677352885946,1.6843916344727237,0.1838727619468045,0.1243719328385522,0
internvl3_38b,scene3,800,800,0,1.0,0.45454545454545453,0.3778135048231511,0.4126426690079017,0.0325,0.83125,0.028804007514088917,0.09471556453941668,0.27894888824718456,0.48397343343921456,2.369818181659537,1.5410432781841144,10.367208635594775,4.03233905731731,0.13973566195536333,0.06522682522148784,0
internvl3_38b,scene4_room1,200,200,0,1.0,0.5457227138643068,0.45792079207920794,0.49798115746971744,0.05,0.67,0.1525,0.15920398009950248,0.34825870646766166,0.5323383084577115,2.247783940501052,1.488938708497052,1.1802932525528105,0.5892418435818662,0.1636102020168789,0.08694440865116276,0
internvl3_38b,scene4_room2,200,200,0,1.0,0.33519553072625696,0.316622691292876,0.3256445047489824,0.045,0.54,0.10275689223057644,0.0215633423180593,0.09433962264150943,0.27762803234501343,3.531098957974406,2.533630093469804,3.024368645082154,0.8498855460030317,0.3120991742192359,0.1143940891296016,36
internvl3_38b,scene4_room3,200,200,0,1.0,0.6705539358600583,0.6036745406824147,0.6353591160220994,0.16,0.375,0.1425,0.16645326504481434,0.384122919334187,0.5480153649167734,2.6776141530178905,1.3558981148741032,1.0156415051001646,0.48499019543261607,0.15977158213718298,0.07876683445985025,0
internvl3_38b,scene4_room4,200,200,0,1.0,0.43646408839779005,0.3969849246231156,0.41578947368421054,0.02,0.565,0.09273182957393483,0.06557377049180327,0.2547288776796974,0.43127364438839855,3.6117865909726437,1.924299835241262,1.3839667793175268,0.5717005196489964,0.17108636956253048,0.07322359263447721,4
internvl3_38b,scene5,800,800,0,1.0,0.48201936376210236,0.4097589653145209,0.4429615506831903,0.1025,0.29625,0.09284818067754078,0.21365705614567526,0.35022761760242793,0.49286798179059177,2.70505853220172,1.729433294697024,7.432827363610009,3.9272906011079844,0.1270775054973173,0.06792719346167442,0
gaze_copy,scene1,800,800,0,1.0,0.43787962451684154,0.47771084337349395,0.4569288389513108,0.0125,1.05125,0.22174473571121617,0.09781790820165538,0.2478053674441936,0.400300978179082,3.5105524641835575,1.9338962191736844,19.090928948021453,8.446152059192512,0.15805701013252768,0.07244607919437238,0
gaze_copy,scene2,800,800,0,1.0,0.2751183587585481,0.2513214800576646,0.2626820693119035,0.0075,0.96875,0.04568273092369478,0.01080284802356985,0.04763073901301253,0.16498895163270313,7.479245324221399,4.182277758644924,2.805825666901014,1.6903608949695077,0.20327602635978803,0.1282741199535334,0
gaze_copy,scene3,800,800,0,1.0,0.4817773339990015,0.5171489817792069,0.49883690876195397,0.02375,0.89,0.07354301572617947,0.13008937437934456,0.3440913604766634,0.5670307845084408,1.9447832354613437,1.2493270040157851,8.07178110166383,3.5941226063172182,0.11680107887347044,0.0572145798978384,0
gaze_copy,scene4_room1,200,200,0,1.0,0.5581395348837209,0.5346534653465347,0.5461441213653603,0.175,0.615,0.03007518796992481,0.18679950186799502,0.4159402241594022,0.6176836861768368,1.7136244993064116,1.0511644374993954,0.9324305075710764,0.47560889507977105,0.13007345560550482,0.06908873334616275,0
gaze_copy,scene4_room2,200,200,0,1.0,0.3229166666666667,0.32717678100263853,0.32503276539973786,0.105,0.565,0.025380710659898477,0.02442333785617368,0.10040705563093623,0.2903663500678426,3.278040936676006,2.4780178487603157,3.00716140720199,0.7822220380715729,0.30615262117074177,0.10971653644649758,36
gaze_copy,scene4_room3,200,200,0,1.0,0.5914489311163895,0.6535433070866141,0.6209476309226932,0.125,0.69,0.06651884700665188,0.16346153846153846,0.3317307692307693,0.5072115384615384,2.3651636917090824,1.397789161524899,0.951583791043997,0.46904265777743515,0.15076533300938644,0.07389374347032251,0
gaze_copy,scene4_room4,200,200,0,1.0,0.42933333333333334,0.4045226130653266,0.41655886157826655,0.105,0.615,0.025974025974025976,0.051347881899871634,0.25930680359435176,0.44672657252888315,3.4201464065488567,1.7260837939031926,1.3063450907378118,0.5323840293987716,0.161929654376611,0.06857043997144559,4
