variant,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_scene_normalized_error,mean_matched_euclidean_error,delta_anchor_f1_vs_full,delta_margin_f1_at_1_vs_full
no_visual,scene:scene2,800,800,0,1.0,0.2770199370409234,0.25372417107160017,0.26486079759217457,0.00625,0.010705596107055959,0.04720194647201946,0.16593673965936737,0.20731873057207456,2.8514222247114542,-0.0003631581199542988,-0.00014977429927661573
no_visual,scene:scene3,800,800,0,1.0,0.4742014742014742,0.5171489817792069,0.4947449371955909,0.02,0.12846285854376072,0.339789164010787,0.559450845795538,0.11762914556427642,8.115258554664484,0.005936087182727479,0.006127746687952407
no_visual,scene:scene4_room1,200,200,0,1.0,0.558974358974359,0.5396039603960396,0.54911838790932,0.04,0.17857142857142855,0.38169642857142855,0.5602678571428571,0.149169237057658,1.0606682614358363,0.0018296111123463632,0.0018081604150039787
no_visual,scene:scene4_room2,200,200,0,1.0,0.3200992555831266,0.3403693931398417,0.329923273657289,0.025,0.02142857142857143,0.09761904761904762,0.2595238095238095,0.3491427940560717,2.9974293309378868,0.0,0.0
no_visual,scene:scene4_room3,200,200,0,1.0,0.6022727272727273,0.6955380577427821,0.6455542021924482,0.03,0.16339193381592554,0.36194415718717676,0.5356773526370217,0.13591099087211955,0.8503194777330048,-0.0015764449381989731,-0.0007501433309579641
no_visual,scene:scene4_room4,200,200,0,1.0,0.43523316062176165,0.4221105527638191,0.42857142857142855,0.015,0.07033997655334116,0.26025791324736225,0.4337631887456037,0.16240352159796764,1.3033213040644238,0.0,0.0
no_visual,scene:scene5,800,800,0,1.0,0.47159404302261443,0.5026455026455027,0.48662492885600456,0.025,0.22552664188351917,0.352912019826518,0.4936802973977695,0.10422425435450362,5.986713382987491,0.0006009699284518222,0.0007888512146480564
no_gaze,overall,4000,4000,0,1.0,0.1190271816881259,0.04689966178128523,0.06728669632025878,0.00125,0.0008428150021070374,0.005478297513695744,0.026267734232336002,0.3771265776298738,21.47425691863428,-0.3653315197671075,-0.2448125619126789
no_gaze,single_target,930,930,0,1.0,0.05904059040590406,0.034408602150537634,0.043478260869565216,0.005376344086021506,0.0,0.0032912781130005485,0.013165112452002194,0.3608784299323234,23.141060566510326,-0.3926328502415459,-0.22074130844504425
no_gaze,multi_target,3070,3070,0,1.0,0.130037250253979,0.04836272040302267,0.07050399339025061,0.0,0.0009665726943213855,0.005799436165928313,0.028191703584373746,0.3786102709908676,21.32201343583615,-0.3614506210302257,-0.25001736520561224
no_gaze,scene:scene1,800,800,0,1.0,0.11879699248120301,0.04759036144578313,0.06795698924731183,0.00375,0.0,0.002031832035218422,0.004063664070436844,0.35944838707028653,43.21733966498563,-0.38653642803946553,-0.24275466250301395
no_gaze,scene:scene2,800,800,0,1.0,0.0855207451312447,0.04853435848149928,0.061925199264255056,0.0025,0.0,0.004115226337448559,0.03115814226925338,0.3408385040003057,4.618404289090314,-0.20329875644787382,-0.043236494433847514
no_gaze,scene:scene3,800,800,0,1.0,0.135632183908046,0.0632368703108253,0.08625730994152046,0.0,0.004176818656456666,0.016707274625826662,0.07309432648799163,0.3071037315865128,21.555608984392702,-0.4025515400713429,-0.31695414269700795
no_gaze,scene:scene4_room1,200,200,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529487027978814,17.583389453103774,-0.5472887767969736,-0.37988826815642457
no_gaze,scene:scene4_room2,200,200,0,1.0,0.25,0.002638522427440633,0.005221932114882507,0.0,0.0,0.0,0.0,2.667568772924599,18.962573744417533,-0.3247013415424065,-0.09761904761904762
no_gaze,scene:scene4_room3,200,200,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6181487267905443,16.15784410714656,-0.6471306471306472,-0.3626943005181347
no_gaze,scene:scene4_room4,200,200,0,1.0,0.11764705882352941,0.01507537688442211,0.026726057906458794,0.0,0.0,0.0,0.0,1.3594613936544702,10.640463296014087,-0.4018453706649697,-0.26025791324736225
no_gaze,scene:scene5,800,800,0,1.0,0.1563380281690141,0.06525573192239859,0.09207797594359186,0.0,0.0,0.0029895366218236174,0.013751868460388639,0.37178665260686816,21.34455086206188,-0.3939459829839609,-0.3491336319900463
no_hand,overall,4000,4000,0,1.0,0.4287120052481959,0.44205186020293125,0.4352797513321492,0.01875,0.11478648498049744,0.25267210374347804,0.41335292031811965,0.15579098742422393,7.551962962000374,0.002661535244782909,0.0023812443171034037
no_hand,single_target,930,930,0,1.0,0.3288100208768267,0.6774193548387096,0.4427266338721012,0.001075268817204301,0.1040258595357038,0.22744637084925068,0.3702615339406406,0.09088321982757813,4.342941589295187,0.006615522760990089,0.003413784291205868
no_hand,multi_target,3070,3070,0,1.0,0.45518672199170124,0.4144836272040302,0.43388266315095586,0.024104234527687295,0.11702778797894478,0.2579263067694944,0.4223283143591627,0.1642691087535611,7.97198719808929,0.0019280487304795813,0.002109505397953848
no_hand,scene:scene1,800,800,0,1.0,0.43787962451684154,0.47771084337349395,0.4569288389513108,0.01125,0.09797550612346913,0.24693826543364158,0.3989002749312672,0.15810845826680708,19.108177535533887,0.002435421664533477,0.0021517708954092163
no_hand,scene:scene2,800,800,0,1.0,0.2770199370409234,0.25372417107160017,0.26486079759217457,0.00625,0.010705596107055959,0.04720194647201946,0.16593673965936737,0.2073187305727179,2.8514222247105385,-0.0003631581199542988,-0.00014977429927661573
no_hand,scene:scene3,800,800,0,1.0,0.4827413706853427,0.5171489817792069,0.499353169469599,0.02125,0.12967087354615195,0.34298440979955463,0.5647117050235091,0.1172112545847755,8.103251453787133,0.010544319456735618,0.009322992476720027
no_hand,scene:scene4_room1,200,200,0,1.0,0.558974358974359,0.5396039603960396,0.54911838790932,0.04,0.17857142857142855,0.38169642857142855,0.5602678571428571,0.14916923710637625,1.0606682617744945,0.0018296111123463632,0.0018081604150039787
