experiment,model,scene,anchor_f1,anchor_fn,anchor_fp,anchor_precision,anchor_recall,anchor_tp,exact,fn,fp,hit_all,hit_mapped,invalid,joint100_f1,joint100_fn,joint100_fp,joint100_precision,joint100_recall,joint100_tp,joint150_f1,joint150_fn,joint150_fp,joint150_precision,joint150_recall,joint150_tp,joint200_f1,joint200_fn,joint200_fp,joint200_precision,joint200_recall,joint200_tp,joint50_f1,joint50_fn,joint50_fp,joint50_precision,joint50_recall,joint50_tp,macro_set_f1,mapped,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,margin_fn_0.5,margin_fn_1.0,margin_fn_2.0,margin_fp_0.5,margin_fp_1.0,margin_fp_2.0,margin_precision_0.5,margin_precision_1.0,margin_precision_2.0,margin_recall_0.5,margin_recall_1.0,margin_recall_2.0,margin_tp_0.5,margin_tp_1.0,margin_tp_2.0,mean_scene_normalized_error,micro_f1,micro_precision,micro_recall,missing,n,parse_failures,point100_f1,point100_fn,point100_fp,point100_precision,point100_recall,point100_tp,point150_f1,point150_fn,point150_fp,point150_precision,point150_recall,point150_tp,point200_f1,point200_fn,point200_fp,point200_precision,point200_recall,point200_tp,point50_f1,point50_fn,point50_fp,point50_precision,point50_recall,point50_tp,temporal_f1,temporal_fn,temporal_fp,temporal_precision,temporal_recall,temporal_tp,tp,unmapped,valid
experiment2,Qwen3-VL-30B-A3B,scene4_room3,,,,,,,,,,,,0,0.3107569721115538,255,264,0.30708661417322836,0.31451612903225806,117,0.3904382470119521,225,234,0.3858267716535433,0.3951612903225806,147,0.4594953519256308,199,208,0.4540682414698163,0.4650537634408602,173,0.15139442231075695,315,324,0.14960629921259844,0.1532258064516129,57,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.3904382470119521,225,234,0.3858267716535433,0.3951612903225806,147,0.49136786188579024,187,196,0.48556430446194226,0.49731182795698925,185,0.5737051792828686,156,165,0.5669291338582677,0.5806451612903226,216,0.19389110225763614,299,308,0.19160104986876642,0.19623655913978494,73,0.701195219123506,108,117,0.6929133858267716,0.7096774193548387,264,,,200
experiment2,Qwen3-VL-30B-A3B,scene4_room4,,,,,,,,,,,,0,0.227330779054917,296,309,0.2236180904522613,0.23116883116883116,89,0.34738186462324394,249,262,0.3417085427135678,0.35324675324675325,136,0.4035759897828864,227,240,0.3969849246231156,0.4103896103896104,158,0.11494252873563218,340,353,0.11306532663316583,0.11688311688311688,45,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.28097062579821197,275,288,0.27638190954773867,0.2857142857142857,110,0.4240102171136654,219,232,0.41708542713567837,0.43116883116883115,166,0.4904214559386973,193,206,0.4824120603015075,0.4987012987012987,192,0.14303959131545338,329,342,0.1407035175879397,0.14545454545454545,56,0.7305236270753512,99,112,0.7185929648241206,0.7428571428571429,286,,,200
experiment2,Qwen3-VL-30B-A3B,scene5,,,,,,,,,,,,1,0.14077814077814077,1434,1459,0.13974056603773585,0.14183123877917414,237,0.22275022275022277,1296,1321,0.22110849056603774,0.2244165170556553,375,0.28690228690228686,1188,1213,0.2847877358490566,0.289048473967684,483,0.036234036234036225,1610,1635,0.03596698113207547,0.036505086774386596,61,,,,,,,,,,,,,,,,,,,,,,,,,0,800,1,0.18473418473418476,1360,1385,0.18337264150943397,0.18611609814482347,311,0.2928422928422928,1178,1203,0.29068396226415094,0.2950329144225015,493,0.3682803682803683,1051,1076,0.36556603773584906,0.3710353081986834,620,0.04336204336204336,1598,1623,0.04304245283018868,0.043686415320167565,73,0.7401247401247402,425,450,0.7346698113207547,0.7456612806702573,1246,,,799
experiment2,Qwen3-VL-8B,scene1,,,,,,,,,,,,0,0.23773584905660375,1189,1235,0.23434593924364538,0.2412252712188896,378,0.3138364779874213,1068,1114,0.30936143831370116,0.3184428844926611,499,0.37421383647798745,972,1018,0.3688778673279603,0.37970644543714105,595,0.11509433962264153,1384,1430,0.1134531928084315,0.11678366305041481,183,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.28050314465408804,1121,1167,0.27650340979541227,0.28462029355456286,446,0.37672955974842764,968,1014,0.37135771853688776,0.3822590938098277,599,0.4446540880503145,860,906,0.43831370117792934,0.4511805998723676,707,0.13710691823899368,1349,1395,0.1351518908865468,0.1391193363114231,218,0.7213836477987421,420,466,0.7110973341599504,0.7319719208679004,1147,,,800
experiment2,Qwen3-VL-8B,scene2,,,,,,,,,,,,0,0.20528301886792452,1627,1532,0.21030927835051547,0.2004914004914005,408,0.32301886792452833,1393,1298,0.3309278350515464,0.3154791154791155,642,0.3984905660377359,1243,1148,0.40824742268041236,0.3891891891891892,792,0.07547169811320754,1885,1790,0.07731958762886598,0.07371007371007371,150,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.21987421383647798,1598,1503,0.2252577319587629,0.21474201474201474,437,0.34264150943396227,1354,1259,0.3510309278350515,0.33464373464373465,681,0.43069182389937105,1179,1084,0.44123711340206184,0.42063882063882063,856,0.08251572327044025,1871,1776,0.08453608247422681,0.08058968058968059,164,0.7652830188679245,514,419,0.784020618556701,0.7474201474201474,1521,,,800
experiment2,Qwen3-VL-8B,scene3,,,,,,,,,,,,0,0.19200887902330746,1426,1486,0.1888646288209607,0.19525959367945825,346,0.29633740288568255,1238,1298,0.2914847161572052,0.3013544018058691,534,0.36736958934517205,1110,1170,0.361353711790393,0.37358916478555304,662,0.07269700332963375,1641,1701,0.07150655021834061,0.07392776523702031,131,,,,,,,,,,,,,,,,,,,,,,,,,0,800,0,0.2241953385127636,1368,1428,0.2205240174672489,0.22799097065462753,404,0.3385127635960045,1162,1222,0.3329694323144105,0.3442437923250564,610,0.41897891231964485,1017,1077,0.412117903930131,0.4260722347629797,755,0.08435072142064373,1620,1680,0.08296943231441048,0.08577878103837472,152,0.7685904550499445,387,447,0.756004366812227,0.7816027088036117,1385,,,800
experiment2,Qwen3-VL-8B,scene4_room1,,,,,,,,,,,,0,0.1997300944669366,306,287,0.20498614958448755,0.19473684210526315,74,0.29959514170040485,269,250,0.3074792243767313,0.29210526315789476,111,0.3562753036437247,248,229,0.3656509695290859,0.3473684210526316,132,0.06747638326585695,355,336,0.06925207756232687,0.06578947368421052,25,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.23211875843454793,294,275,0.23822714681440443,0.22631578947368422,86,0.3427800269905533,253,234,0.3518005540166205,0.33421052631578946,127,0.40755735492577594,229,210,0.4182825484764543,0.3973684210526316,151,0.08367071524966263,349,330,0.08587257617728532,0.08157894736842106,31,0.7233468286099866,112,93,0.7423822714681441,0.7052631578947368,268,,,200
experiment2,Qwen3-VL-8B,scene4_room2,,,,,,,,,,,,0,0.15427769985974754,282,321,0.14627659574468085,0.1632047477744807,55,0.26647966339410945,242,281,0.2526595744680851,0.2818991097922849,95,0.37026647966339415,205,244,0.35106382978723405,0.3916913946587537,132,0.06171107994389902,315,354,0.05851063829787234,0.06528189910979229,22,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.20476858345021037,264,303,0.19414893617021275,0.2166172106824926,73,0.3366058906030856,217,256,0.3191489361702128,0.3560830860534125,120,0.4600280504908836,173,212,0.43617021276595747,0.486646884272997,164,0.08134642356241235,308,347,0.07712765957446809,0.08605341246290801,29,0.7068723702664798,85,124,0.6702127659574468,0.7477744807121661,252,,,200
experiment2,Qwen3-VL-8B,scene4_room3,,,,,,,,,,,,0,0.2273342354533153,288,283,0.22888283378746593,0.22580645161290322,84,0.3274695534506089,251,246,0.329700272479564,0.32526881720430106,121,0.3788903924221922,232,227,0.3814713896457766,0.3763440860215054,140,0.10554803788903926,333,328,0.10626702997275204,0.10483870967741936,39,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.2598105548037889,276,271,0.2615803814713896,0.25806451612903225,96,0.3707713125845738,235,230,0.37329700272479566,0.3682795698924731,137,0.4546684709066306,204,199,0.45776566757493187,0.45161290322580644,168,0.11637347767253044,329,324,0.11716621253405994,0.11559139784946236,43,0.7198917456021651,106,101,0.7247956403269755,0.7150537634408602,266,,,200
experiment2,Qwen3-VL-8B,scene4_room4,,,,,,,,,,,,0,0.21794871794871795,300,310,0.21518987341772153,0.22077922077922077,85,0.3333333333333333,255,265,0.3291139240506329,0.33766233766233766,130,0.4025641025641026,228,238,0.39746835443037976,0.4077922077922078,157,0.06153846153846154,361,371,0.060759493670886074,0.06233766233766234,24,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,0.26410256410256405,282,292,0.2607594936708861,0.2675324675324675,103,0.3794871794871795,237,247,0.37468354430379747,0.38441558441558443,148,0.4512820512820513,209,219,0.44556962025316454,0.45714285714285713,176,0.08974358974358974,350,360,0.08860759493670886,0.09090909090909091,35,0.7717948717948718,84,94,0.7620253164556962,0.7818181818181819,301,,,200
